"","initial","final","genes","values"
"591","43651499","43520427/43651243/43536555","SOCS3","1"
"592","43651499","43520427/43651243/43536555","STAT6","1"
"593","43651499","43536802/43651490/43667618","IFNG_e","0"
"594","43651499","43536802/43651490/43667618","STAT1","0"
"595","43651499","43536809/43651497/43667625","GMCSF_e","0"
"596","43651499","43536809/43651497/43667625","IL10_e","1"
"597","43651499","43536809/43651497/43667625","STAT5","0"
"598","43651499","43536811/43651499/43667627","EGFR_e","0"
"599","43651499","43536811/43651499/43667627","FCGR","1"
"600","43651499","43536811/43651499/43667627","IC_e","1"
"601","43651499","43536811/43651499/43667627","IL12_out","0"
"602","43651499","43536811/43651499/43667627","IL1B_e","1"
"603","43651499","43536811/43651499/43667627","IL1R","1"
"604","43651499","43536811/43651499/43667627","IL4_e","1"
"605","43651499","43536811/43651499/43667627","IL6_e","1"
"606","43651499","43536811/43651499/43667627","NECA_e","1"
"607","43651499","43536811/43651499/43667627","SOCS1","0"
"608","43651499","43536811/43651499/43667627","VEGF_out","1"
"609","43651499","43667883","STAT3_IL6","1"
"610","43667618","43520162","NFKB","0"
"611","43667618","43520162","STAT3_IL6","0"
"612","43667618","43520169","FCGR","1"
"613","43667618","43520169","IL10_out","1"
"614","43667618","43520418/43651234/43536546","EGFR_e","0"
"615","43667618","43520418/43651234/43536546","IL6R","0"
"616","43667618","43520418/43651234/43536546","KLF4","1"
"617","43667618","43520418/43651234/43536546","PPARG","1"
"618","43667618","43520418/43651234/43536546","SOCS3","1"
"619","43667618","43520418/43651234/43536546","TLR4","0"
"620","43667618","43520425/43651241/43536553","IC_e","1"
"621","43667618","43520425/43651241/43536553","IL10_e","1"
"622","43667618","43520425/43651241/43536553","IL10R","1"
"623","43667618","43520425/43651241/43536553","STAT3_IL10","1"
"624","43667618","43520425/43651241/43536553","STAT6","1"
"625","43667618","43536802/43651490/43667618","IFNG_e","0"
"626","43667618","43536802/43651490/43667618","IL12_out","1"
"627","43667618","43536802/43651490/43667618","IL1B_e","1"
"628","43667618","43536802/43651490/43667618","IL1R","1"
"629","43667618","43536802/43651490/43667618","IL4_e","1"
"630","43667618","43536802/43651490/43667618","LPS_e","0"
"631","43667618","43536802/43651490/43667618","NECA_e","1"
"632","43667618","43536802/43651490/43667618","VEGF_out","1"
"633","43667618","43536811/43651499/43667627","GMCSF_e","0"
"634","43667618","43536811/43651499/43667627","SOCS1","0"
"635","43667618","43536811/43651499/43667627","STAT1","1"
"636","43667618","43536811/43651499/43667627","STAT5","0"
"637","43667618","43667874","IL6_e","1"
"638","43667618","43667874","IL6_out","1"
"639","43667625","43520169","IL10_out","1"
"640","43667625","43520169","NFKB","0"
"641","43667625","43520169","STAT3_IL6","0"
"642","43667625","43520425/43651241/43536553","EGFR_e","0"
"643","43667625","43520425/43651241/43536553","FCGR","1"
"644","43667625","43520425/43651241/43536553","IC_e","1"
"645","43667625","43520425/43651241/43536553","IL10_e","1"
"646","43667625","43520425/43651241/43536553","IL10R","1"
"647","43667625","43520425/43651241/43536553","IL6R","0"
"648","43667625","43520425/43651241/43536553","KLF4","1"
"649","43667625","43520425/43651241/43536553","PPARG","1"
"650","43667625","43520425/43651241/43536553","SOCS3","1"
"651","43667625","43520425/43651241/43536553","STAT3_IL10","1"
"652","43667625","43520425/43651241/43536553","STAT6","1"
"653","43667625","43520425/43651241/43536553","TLR4","0"
"654","43667625","43536809/43651497/43667625","GMCSF_e","0"
"655","43667625","43536809/43651497/43667625","IL12_out","0"
"656","43667625","43536809/43651497/43667625","IL1B_e","1"
"657","43667625","43536809/43651497/43667625","IL1R","1"
"658","43667625","43536809/43651497/43667625","IL4_e","1"
"659","43667625","43536809/43651497/43667625","LPS_e","0"
"660","43667625","43536809/43651497/43667625","NECA_e","1"
"661","43667625","43536809/43651497/43667625","VEGF_out","1"
"662","43667625","43536811/43651499/43667627","IFNG_e","0"
"663","43667625","43536811/43651499/43667627","SOCS1","0"
"664","43667625","43536811/43651499/43667627","STAT1","0"
"665","43667625","43536811/43651499/43667627","STAT5","1"
"666","43667625","43667881","IL6_e","1"
"667","43667625","43667881","IL6_out","1"
"668","43667627","43520169","IL10_out","1"
"669","43667627","43520171","NFKB","0"
"670","43667627","43520171","STAT3_IL6","0"
"671","43667627","43520425/43651241/43536553","IL10_e","1"
"672","43667627","43520425/43651241/43536553","IL10R","1"
"673","43667627","43520425/43651241/43536553","STAT3_IL10","1"
"674","43667627","43520427/43651243/43536555","EGFR_e","0"
"675","43667627","43520427/43651243/43536555","FCGR","1"
"676","43667627","43520427/43651243/43536555","IC_e","1"
"677","43667627","43520427/43651243/43536555","IL6R","0"
"678","43667627","43520427/43651243/43536555","KLF4","1"
"679","43667627","43520427/43651243/43536555","PPARG","1"
"680","43667627","43520427/43651243/43536555","SOCS3","1"
"681","43667627","43520427/43651243/43536555","STAT6","1"
"682","43667627","43520427/43651243/43536555","TLR4","0"
"683","43667627","43536802/43651490/43667618","IFNG_e","0"
"684","43667627","43536802/43651490/43667618","STAT1","0"
"685","43667627","43536809/43651497/43667625","GMCSF_e","0"
"686","43667627","43536809/43651497/43667625","STAT5","0"
"687","43667627","43536811/43651499/43667627","IL12_out","0"
"688","43667627","43536811/43651499/43667627","IL1B_e","1"
"689","43667627","43536811/43651499/43667627","IL1R","1"
"690","43667627","43536811/43651499/43667627","IL4_e","1"
"691","43667627","43536811/43651499/43667627","LPS_e","0"
"692","43667627","43536811/43651499/43667627","NECA_e","1"
"693","43667627","43536811/43651499/43667627","SOCS1","0"
"694","43667627","43536811/43651499/43667627","VEGF_out","1"
"695","43667627","43667883","IL6_e","1"
"696","43667627","43667883","IL6_out","1"
"697","43667874","43520169","FCGR","1"
"698","43667874","43520418/43651234/43536546","IL6_out","0"
"699","43667874","43520418/43651234/43536546","IL6R","0"
"700","43667874","43520418/43651234/43536546","KLF4","1"
"701","43667874","43520418/43651234/43536546","NFKB","0"
"702","43667874","43520418/43651234/43536546","PPARG","1"
"703","43667874","43520418/43651234/43536546","SOCS3","1"
"704","43667874","43520418/43651234/43536546","STAT3_IL6","0"
"705","43667874","43520418/43651234/43536546","TLR4","0"
"706","43667874","43520425/43651241/43536553","IC_e","1"
"707","43667874","43520425/43651241/43536553","IL10_out","1"
"708","43667874","43520425/43651241/43536553","IL10R","1"
"709","43667874","43520425/43651241/43536553","STAT3_IL10","1"
"710","43667874","43520425/43651241/43536553","STAT6","1"
"711","43667874","43536802/43651490/43667618","EGFR_e","0"
"712","43667874","43536802/43651490/43667618","LPS_e","0"
"713","43667874","43536809/43651497/43667625","IL10_e","1"
"714","43667874","43667874","IFNG_e","0"
"715","43667874","43667874","IL12_out","1"
"716","43667874","43667874","IL1B_e","1"
"717","43667874","43667874","IL1R","1"
"718","43667874","43667874","IL4_e","1"
"719","43667874","43667874","IL6_e","1"
"720","43667874","43667874","NECA_e","1"
"721","43667874","43667874","VEGF_out","1"
"722","43667874","43667883","GMCSF_e","0"
"723","43667874","43667883","SOCS1","0"
"724","43667874","43667883","STAT1","1"
"725","43667874","43667883","STAT5","0"
"726","43667881","43520425/43651241/43536553","IL10_out","1"
"727","43667881","43520425/43651241/43536553","IL10R","1"
"728","43667881","43520425/43651241/43536553","IL6_out","0"
"729","43667881","43520425/43651241/43536553","IL6R","0"
"730","43667881","43520425/43651241/43536553","KLF4","1"
"731","43667881","43520425/43651241/43536553","NFKB","0"
"732","43667881","43520425/43651241/43536553","PPARG","1"
"733","43667881","43520425/43651241/43536553","SOCS3","1"
"734","43667881","43520425/43651241/43536553","STAT3_IL10","1"
"735","43667881","43520425/43651241/43536553","STAT3_IL6","0"
"736","43667881","43520425/43651241/43536553","STAT6","1"
"737","43667881","43520425/43651241/43536553","TLR4","0"
"738","43667881","43536809/43651497/43667625","EGFR_e","0"
"739","43667881","43536809/43651497/43667625","FCGR","1"
"740","43667881","43536809/43651497/43667625","IC_e","1"
"741","43667881","43536809/43651497/43667625","IL10_e","1"
"742","43667881","43536809/43651497/43667625","LPS_e","0"
"743","43667881","43667881","GMCSF_e","0"
"744","43667881","43667881","IL12_out","0"
"745","43667881","43667881","IL1B_e","1"
"746","43667881","43667881","IL1R","1"
"747","43667881","43667881","IL4_e","1"
"748","43667881","43667881","IL6_e","1"
"749","43667881","43667881","NECA_e","1"
"750","43667881","43667881","VEGF_out","1"
"751","43667881","43667883","IFNG_e","0"
"752","43667881","43667883","SOCS1","0"
"753","43667881","43667883","STAT1","0"
"754","43667881","43667883","STAT5","1"
"755","43667883","43520425/43651241/43536553","IL10_out","1"
"756","43667883","43520425/43651241/43536553","IL10R","1"
"757","43667883","43520425/43651241/43536553","STAT3_IL10","1"
"758","43667883","43520427/43651243/43536555","IL6_out","0"
"759","43667883","43520427/43651243/43536555","IL6R","0"
"760","43667883","43520427/43651243/43536555","KLF4","1"
"761","43667883","43520427/43651243/43536555","NFKB","0"
"762","43667883","43520427/43651243/43536555","PPARG","1"
"763","43667883","43520427/43651243/43536555","SOCS3","1"
"764","43667883","43520427/43651243/43536555","STAT3_IL6","0"
"765","43667883","43520427/43651243/43536555","STAT6","1"
"766","43667883","43520427/43651243/43536555","TLR4","0"
"767","43667883","43536809/43651497/43667625","IL10_e","1"
"768","43667883","43536811/43651499/43667627","EGFR_e","0"
"769","43667883","43536811/43651499/43667627","FCGR","1"
"770","43667883","43536811/43651499/43667627","IC_e","1"
"771","43667883","43536811/43651499/43667627","LPS_e","0"
"772","43667883","43667874","IFNG_e","0"
"773","43667883","43667874","STAT1","0"
"774","43667883","43667881","GMCSF_e","0"
"775","43667883","43667881","STAT5","0"
"776","43667883","43667883","IL12_out","0"
"777","43667883","43667883","IL1B_e","1"
"778","43667883","43667883","IL1R","1"
"779","43667883","43667883","IL4_e","1"
"780","43667883","43667883","IL6_e","1"
"781","43667883","43667883","NECA_e","1"
"782","43667883","43667883","SOCS1","0"
"783","43667883","43667883","VEGF_out","1"
"784","9965730","10031273","FCGR","1"
"785","9965730","10031273","IC_e","1"
"786","9965730","10031273","IL10_e","1"
"787","9965730","10031273","IL10_out","1"
"788","9965730","10031273","IL10R","1"
"789","9965730","10031273","STAT3_IL10","1"
"790","9965730","10031273","STAT6","1"
"791","9965730","10031275","GMCSF_e","0"
"792","9965730","10031275","SOCS1","0"
"793","9965730","10031275","STAT1","1"
"794","9965730","10031275","STAT5","0"
"795","9965730","9965730","EGFR_e","1"
"796","9965730","9965730","IFNG_e","0"
"797","9965730","9965730","IL12_out","1"
"798","9965730","9965730","IL1B_e","1"
"799","9965730","9965730","IL1R","1"
"800","9965730","9965730","IL4_e","1"
"801","9965730","9965730","IL6_e","1"
"802","9965730","9965730","IL6_out","1"
"803","9965730","9965730","IL6R","1"
"804","9965730","9965730","KLF4","1"
"805","9965730","9965730","LPS_e","0"
"806","9965730","9965730","NECA_e","1"
"807","9965730","9965730","NFKB","0"
"808","9965730","9965730","PPARG","1"
"809","9965730","9965730","SOCS3","1"
"810","9965730","9965730","STAT3_IL6","1"
"811","9965730","9965730","TLR4","0"
"812","9965730","9965730","VEGF_out","1"
